Round		Edge-Cut		Swaps		Migrations
0		5026		2269		726
1		4175		4440		884
2		3787		6486		1015
3		3557		8424		1055
4		3435		10300		1114
5		3314		12131		1153
6		3179		13871		1183
7		3109		15564		1205
8		3057		17216		1250
9		3022		18856		1263
10		2963		20469		1279
11		2914		22032		1290
12		2862		23571		1298
13		2822		25084		1319
14		2796		26578		1327
15		2743		28054		1326
16		2717		29483		1334
17		2691		30886		1329
18		2665		32243		1353
19		2634		33580		1354
20		2615		34899		1379
21		2588		36198		1392
22		2570		37480		1399
23		2555		38745		1394
24		2528		40005		1408
25		2509		41231		1410
26		2500		42443		1404
27		2486		43656		1406
28		2488		44856		1406
29		2464		46051		1406
30		2457		47224		1414
31		2450		48400		1413
32		2436		49567		1423
33		2417		50722		1428
34		2407		51856		1429
35		2397		52977		1427
36		2392		54087		1429
37		2384		55193		1431
38		2372		56287		1435
39		2365		57378		1436
40		2353		58462		1438
41		2348		59530		1442
42		2345		60602		1439
43		2339		61666		1446
44		2339		62723		1445
45		2336		63779		1447
46		2329		64841		1449
47		2327		65896		1452
48		2323		66947		1454
49		2320		67992		1455
50		2317		69039		1453
51		2313		70081		1457
52		2311		71121		1460
53		2310		72161		1463
54		2306		73197		1464
55		2304		74230		1462
56		2301		75261		1464
57		2299		76291		1465
58		2296		77320		1467
59		2293		78349		1468
60		2293		79375		1468
61		2293		80402		1470
62		2293		81428		1470
63		2293		82454		1470
64		2292		83479		1471
65		2290		84504		1474
66		2289		85527		1474
67		2288		86550		1474
68		2287		87571		1474
69		2285		88595		1475
70		2285		89616		1476
71		2285		90634		1476
72		2284		91651		1474
73		2284		92669		1474
74		2283		93686		1476
75		2281		94700		1477
76		2281		95714		1477
77		2281		96728		1477
78		2281		97742		1477
79		2281		98756		1477
80		2279		99770		1476
81		2279		100782		1476
82		2277		101794		1477
83		2277		102806		1477
84		2277		103818		1477
85		2275		104830		1478
86		2276		105840		1478
87		2273		106847		1477
88		2273		107851		1477
89		2271		108855		1478
90		2269		109857		1479
91		2269		110857		1479
92		2269		111857		1479
93		2269		112857		1479
94		2269		113857		1479
95		2268		114858		1478
96		2267		115859		1477
97		2267		116861		1477
98		2267		117861		1477
99		2264		118858		1478
100		2263		119855		1477
101		2261		120847		1479
102		2260		121839		1479
103		2259		122828		1479
104		2258		123815		1478
105		2257		124800		1479
106		2257		125786		1479
107		2256		126773		1480
108		2256		127757		1480
109		2255		128740		1479
110		2253		129722		1482
111		2253		130702		1482
112		2253		131682		1482
113		2252		132661		1482
114		2252		133641		1482
115		2252		134621		1482
116		2252		135601		1482
117		2252		136581		1482
118		2251		137560		1482
119		2250		138537		1484
120		2249		139514		1483
121		2247		140487		1483
122		2247		141461		1483
123		2247		142435		1483
124		2247		143409		1483
125		2247		144385		1484
126		2246		145358		1485
127		2246		146330		1485
128		2245		147301		1485
129		2245		148273		1485
130		2245		149245		1485
131		2244		150218		1484
132		2244		151188		1485
133		2243		152159		1486
134		2242		153130		1484
135		2242		154098		1484
136		2241		155065		1485
137		2241		156031		1485
138		2240		156999		1485
139		2240		157965		1485
140		2239		158930		1485
141		2239		159894		1485
142		2239		160858		1485
143		2239		161822		1485
144		2238		162787		1487
145		2237		163748		1486
146		2236		164707		1488
147		2236		165665		1488
148		2236		166623		1488
149		2236		167581		1488
150		2236		168539		1488
151		2236		169497		1488
152		2236		170455		1488
153		2235		171412		1488
154		2235		172368		1488
155		2235		173324		1488
156		2235		174280		1488
157		2235		175236		1488
158		2235		176192		1488
159		2234		177149		1490
160		2233		178102		1490
161		2233		179054		1490
162		2233		180006		1490
163		2233		180958		1490
164		2232		181909		1491
165		2232		182859		1491
166		2232		183809		1491
167		2232		184759		1491
168		2232		185709		1491
169		2232		186659		1491
170		2232		187609		1491
171		2231		188558		1489
172		2231		189508		1489
173		2231		190456		1489
174		2231		191404		1489
175		2231		192352		1489
176		2231		193300		1489
177		2230		194250		1489
178		2230		195200		1490
179		2230		196148		1490
180		2230		197096		1490
181		2229		198045		1490
182		2228		198992		1492
183		2228		199938		1492
184		2228		200886		1491
185		2228		201832		1491
186		2227		202777		1491
187		2226		203722		1491
188		2226		204666		1491
189		2225		205609		1490
190		2225		206551		1490
191		2225		207494		1491
192		2223		208436		1491
193		2223		209376		1491
194		2223		210316		1491
195		2222		211255		1491
196		2222		212193		1491
197		2222		213131		1491
198		2222		214069		1491
199		2221		215006		1492
200		2221		215942		1492
201		2221		216878		1492
202		2221		217814		1492
203		2221		218750		1492
204		2221		219686		1492
205		2221		220622		1492
206		2221		221558		1492
207		2221		222494		1492
208		2221		223430		1492
209		2221		224368		1491
210		2221		225304		1491
211		2221		226240		1491
212		2221		227176		1491
213		2221		228112		1491
214		2221		229048		1491
215		2221		229984		1491
216		2221		230920		1491
217		2220		231855		1491
218		2220		232789		1491
219		2220		233723		1491
220		2220		234657		1491
221		2220		235591		1491
222		2220		236525		1491
223		2220		237459		1491
224		2219		238392		1493
225		2218		239323		1492
226		2218		240253		1492
227		2218		241183		1492
228		2218		242113		1492
229		2218		243043		1492
230		2217		243972		1493
231		2217		244900		1493
232		2216		245827		1492
233		2215		246752		1493
234		2215		247676		1493
235		2214		248601		1493
236		2214		249525		1493
237		2214		250449		1493
238		2214		251373		1493
239		2214		252297		1493
240		2214		253223		1494
241		2213		254146		1494
242		2212		255067		1496
243		2209		255985		1497
244		2209		256903		1497
245		2208		257820		1496
246		2208		258736		1496
247		2207		259653		1497
248		2206		260566		1496
249		2205		261477		1498
250		2204		262386		1499
251		2203		263293		1500
252		2203		264199		1500
253		2203		265105		1500
254		2203		266011		1500
255		2202		266916		1499
256		2202		267820		1499
257		2202		268724		1499
258		2201		269629		1501
259		2199		270534		1502
260		2199		271436		1502
